n_train,p_per_set,target_r2,mean_stable_rate,min_stable_rate,mean_nonconvergence_rate,max_nonconvergence_rate,mean_interpolation_rate,max_interpolation_rate,mean_cv_exclusion_rate,max_cv_exclusion_rate,mean_any_boundary_rate
150,5,0.3,0.9993333333333333,0.998,6.666666666666666e-4,0.002,0,0,0.07733333333333334,0.164,0.5893333333333334
300,5,0.3,1,1,0,0,0,0,0.005333333333333333,0.014,0.43466666666666665
150,20,0.3,0.9906666666666667,0.982,0.009333333333333332,0.018,0,0,0.61,0.674,0.7933333333333333
300,20,0.3,0.9986666666666667,0.998,0.0013333333333333333,0.002,0,0,0.3626666666666667,0.548,0.5533333333333333
150,5,0.6,1,1,0,0,0,0,0.011999999999999999,0.036,0.37333333333333335
300,5,0.6,1,1,0,0,0,0,0,0,0.4653333333333333
150,20,0.6,1,1,0,0,0,0,0.2713333333333333,0.348,0.394
300,20,0.6,1,1,0,0,0,0,0.14333333333333334,0.368,0.12333333333333334
