scenario,predictor_set,n_conditions,mean_delta_component_correlation_all,mean_kernel_component_correlation_win_rate_all,mean_delta_component_rmse_all,mean_kernel_component_rmse_win_rate_all,mean_delta_component_correlation_stable
linear,1,8,-0.028896613042552203,0.39525,0.034567232752736904,0.397,-0.028812226447526776
linear,2,8,-0.026002228310546806,0.423,0.028673570272244306,0.4245,-0.026234809297391592
linear,3,8,-0.02219398015482794,0.44675,0.02248521239918077,0.449,-0.022221163736716388
mixed,1,8,-0.06451280119741087,0.20825,0.09698516511072611,0.20875,-0.06444557246957737
mixed,2,8,0.4666035860512415,0.88525,-0.2359853563058684,0.88675,0.4667487460681758
mixed,3,8,0.17186766347636176,0.9705,-0.1361156889055427,0.971,0.17198551977344537
nonlinear,1,8,0.1734241588900262,0.9450000000000001,-0.13875364018293881,0.94525,0.17339002795041758
nonlinear,2,8,0.4882553022571084,0.94225,-0.22006923540317255,0.9335,0.4882889884910559
nonlinear,3,8,0.18981600448208125,0.9652499999999999,-0.14160825896289186,0.9652499999999999,0.18980461172748087
